rank,act_mse_mean,act_mse_sem,dec_mse_mean,dec_mse_sem,w_corr_mean,w_corr_sem,ang_mean,ang_sem
1,0.0003453008539509028,3.833772884971968e-05,0.03548553461829821,0.0005902807928734963,-0.2961857142905939,0.6486746406845498,0.0006310399312887065,0.0001584864331902895
2,0.0044070355749378605,0.003717199408307023,0.03859121476610502,0.0033701308322179697,-0.10437644512598544,0.37506329665557436,0.0009836109191558912,0.00018961832095404891
3,0.003955001768190414,0.0033514293222210068,0.04181970655918121,0.0076093589253162,-0.14504585619445917,0.0989310996372496,0.000535765040380956,6.159825824669808e-05
4,0.00289941163888822,0.0015706683391286573,0.03807184969385465,0.004645678252740377,-0.16728434336107953,0.19305573458850872,0.0005350482818413456,8.40534213973833e-05
5,0.0028249799894789853,0.001702881686088526,0.03731036434570948,0.003985341357125198,0.027654632179451393,0.33187433140866945,5.797712250798991e-05,1.4776531336636319e-06
6,0.0019728040788322687,0.0003322646096125058,0.0339532196521759,0.0013251256689904786,0.030762657960978417,0.20371607503110312,17.998722117155978,0.0013227799692595947
7,0.0017645411426201463,0.0003937605748034674,0.03711096445719401,0.0044051483724103415,0.034031506809591244,0.29568093768721093,35.993773007633074,0.0011838781116020314
8,0.0122730447522675,0.007201542255245743,0.07617124294241269,0.0410740319594988,0.22950099601477988,0.07950169054000535,47.997761033673925,6.000851030027793
9,0.006510976042288045,0.0028615531751708056,0.047890156507492065,0.01067443632187785,0.11126232292994749,0.08117571789473225,35.99890475642948,10.390945661153006
10,0.00847349859153231,0.00414144324246945,0.04637367526690165,0.012220562132797015,0.0953619047366882,0.12290766655847643,53.99806059059775,10.392720231843086
