act_mse,dec_mse,w_corr,subspace_angle_deg,rank,seed
0.00031965854577720165,0.03440284729003906,-0.8951516635908552,0.0006406148606442512,1,0
0.00042070154449902475,0.035619281232357025,0.9999246792507775,0.0009006337507066565,1,1
0.00029554247157648206,0.03643447533249855,-0.9933301585317041,0.0003518711825152117,1,2
0.0008886229479685426,0.03409808501601219,-0.15323066840213811,0.0009889189691531129,2,0
0.0004945319378748536,0.03648666664958,0.568300138664213,0.0013093532878314777,2,1
0.011837951838970184,0.045188892632722855,-0.7281988056400313,0.0006525605004830832,2,2
0.0006480647716671228,0.03373832628130913,-0.3222660784595095,0.0004986322094742369,3,0
0.0005592761444859207,0.03469233959913254,0.0197668273457665,0.0004526019079697914,3,1
0.010657664388418198,0.057028453797101974,-0.13263831746963453,0.0006560610036988394,3,2
0.0016160939121618867,0.03416390344500542,-0.02752804822665733,0.0003671430950896826,4,0
0.0010579638183116913,0.03272562101483345,0.0745468022444529,0.000611872120610995,4,1
0.006024177186191082,0.04732602462172508,-0.5488717841010341,0.0006261296298233592,4,2
0.0013795682461932302,0.034611959010362625,-0.07825977913273527,5.513119298374863e-05,5,0
0.0008770105196163058,0.032164353877305984,0.6480696060008495,5.8710239310363835e-05,5,1
0.00621836120262742,0.04515478014945984,-0.48684593032976003,6.008993522985726e-05,5,2
0.002220210386440158,0.03473537787795067,-0.05794460924240143,17.99607655721746,6,0
0.0013149736914783716,0.03136918693780899,0.41949832250681507,18.00004489712524,6,1
0.0023832281585782766,0.03575509414076805,-0.2692657393814784,18.00004489712524,6,2
0.002409463981166482,0.031897444278001785,-0.5383761895364765,35.9931605673375,7,0
0.0010506744729354978,0.03356708213686943,0.44885775819297546,35.99209847292156,7,1
0.001833484973758459,0.045868366956710815,0.19161295177227475,35.99605998264017,7,2
0.009628054685890675,0.03869253396987915,0.07234173552257281,53.99434952114871,8,0
0.001334232627414167,0.03160389885306358,0.32899190377597753,54.00287359723289,8,1
0.025856846943497658,0.15821729600429535,0.2871693487457892,35.99605998264017,8,2
0.006785205099731684,0.03954825922846794,0.010373886035123002,53.99594437031991,9,0
0.0014231990789994597,0.035042282193899155,0.2718638561724505,36.00011711500716,9,1
0.011324523948132992,0.0690799281001091,0.05154922658226895,18.00065278396137,9,2
0.0070947459898889065,0.032940007746219635,0.1422572686935656,71.99983124885328,10,0
0.002089761197566986,0.03540778160095215,-0.1370582685559493,35.99839249224173,10,1
0.016235988587141037,0.07077323645353317,0.28088671407244825,53.995958030698255,10,2
